SKU       mileage
  1         28463
  2         25896
  3         25084
  4         24738
  5         25041
  6         23488
  7         25856
  8         19328
  9         19173
 10         22439
 11         21716
 12         17405
 13         17867
 14         16639
 15         32283
 16         17744
 17         16266
 18         13408
 19         10517
 20         11961
 21         10981
 22          7835
 23          5900
 24          5630
 25          5333
 26          5133
 27         13003
 28          5268
 29          7086
 30          5133
 31         15825
 32          7706
 33          5979
 34          6699
 35          5543
 36          5024
 37          5012
 38          5190
 39          5144
 40          4095
 41          6086
 42          9071
 43          5548
 44          5449
 45          7034
 46          5669
 47          5865
 48          7168
 49          4367
 50          3919
with_box     613007
empty       1020458
2132
